age,sex,L,M,S
0,L,1.0,49.8842,0.03795
1,L,1.0,54.7244,0.03557
2,L,1.0,58.4249,0.03424
3,L,1.0,61.4292,0.03328
4,L,1.0,63.886,0.03257
5,L,1.0,65.9026,0.03204
6,L,1.0,67.6236,0.03165
7,L,1.0,69.1645,0.03139
8,L,1.0,70.5994,0.03124
9,L,1.0,71.9687,0.03117
10,L,1.0,73.2812,0.03118
11,L,1.0,74.5388,0.03125
12,L,1.0,75.7488,0.03137
13,L,1.0,76.9186,0.03154
14,L,1.0,78.0497,0.03174
15,L,1.0,79.1458,0.03197
16,L,1.0,80.2113,0.03222
17,L,1.0,81.2487,0.0325
18,L,1.0,82.2587,0.03279
19,L,1.0,83.2418,0.0331
20,L,1.0,84.1996,0.03342
21,L,1.0,85.1348,0.03376
22,L,1.0,86.0477,0.0341
23,L,1.0,86.941,0.03445
24,L,1.0,87.1161,0.03507
25,L,1.0,87.972,0.03542
26,L,1.0,88.8065,0.03576
27,L,1.0,89.6197,0.0361
28,L,1.0,90.412,0.03642
29,L,1.0,91.1828,0.03674
30,L,1.0,91.9327,0.03704
31,L,1.0,92.6631,0.03733
32,L,1.0,93.3753,0.03761
33,L,1.0,94.0711,0.03787
34,L,1.0,94.7532,0.03812
35,L,1.0,95.4236,0.03836
36,L,1.0,96.0835,0.03858
37,L,1.0,96.7337,0.03879
38,L,1.0,97.3749,0.039
39,L,1.0,98.0073,0.03919
40,L,1.0,98.631,0.03937
41,L,1.0,99.2459,0.03954
42,L,1.0,99.8515,0.03971
43,L,1.0,100.4485,0.03986
44,L,1.0,101.0374,0.04002
45,L,1.0,101.6186,0.04016
46,L,1.0,102.1933,0.04031
47,L,1.0,102.7625,0.04045
48,L,1.0,103.3273,0.04059
49,L,1.0,103.8886,0.04073
50,L,1.0,104.4473,0.04086
51,L,1.0,105.0041,0.041
52,L,1.0,105.5596,0.04113
53,L,1.0,106.1138,0.04126
54,L,1.0,106.6668,0.04139
55,L,1.0,107.2188,0.04152
56,L,1.0,107.7697,0.04165
57,L,1.0,108.3198,0.04177
58,L,1.0,108.8689,0.0419
59,L,1.0,109.417,0.04202
60,L,1.0,109.9638,0.04214
0,P,1.0,49.1477,0.0379
1,P,1.0,53.6872,0.0364
2,P,1.0,57.0673,0.03568
3,P,1.0,59.8029,0.0352
4,P,1.0,62.0899,0.03486
5,P,1.0,64.0301,0.03463
6,P,1.0,65.7311,0.03448
7,P,1.0,67.2873,0.03441
8,P,1.0,68.7498,0.0344
9,P,1.0,70.1435,0.03444
10,P,1.0,71.4818,0.03452
11,P,1.0,72.771,0.03464
12,P,1.0,74.015,0.03479
13,P,1.0,75.2176,0.03496
14,P,1.0,76.3817,0.03514
15,P,1.0,77.5099,0.03534
16,P,1.0,78.6055,0.03555
17,P,1.0,79.671,0.03576
18,P,1.0,80.7079,0.03598
19,P,1.0,81.7182,0.0362
20,P,1.0,82.7036,0.03643
21,P,1.0,83.6654,0.03666
22,P,1.0,84.604,0.03688
23,P,1.0,85.5202,0.03711
24,P,1.0,85.7153,0.03764
25,P,1.0,86.5904,0.03786
26,P,1.0,87.4462,0.03808
27,P,1.0,88.283,0.0383
28,P,1.0,89.1004,0.03851
29,P,1.0,89.8991,0.03872
30,P,1.0,90.6797,0.03893
31,P,1.0,91.443,0.03913
32,P,1.0,92.1906,0.03933
33,P,1.0,92.9239,0.03952
34,P,1.0,93.6444,0.03971
35,P,1.0,94.3533,0.03989
36,P,1.0,95.0515,0.04006
37,P,1.0,95.7399,0.04024
38,P,1.0,96.4187,0.04041
39,P,1.0,97.0885,0.04057
40,P,1.0,97.7493,0.04073
41,P,1.0,98.4015,0.04089
42,P,1.0,99.0448,0.04105
43,P,1.0,99.6795,0.0412
44,P,1.0,100.3058,0.04135
45,P,1.0,100.9238,0.0415
46,P,1.0,101.5337,0.04164
47,P,1.0,102.136,0.04179
48,P,1.0,102.7312,0.04193
49,P,1.0,103.3197,0.04206
50,P,1.0,103.9021,0.0422
51,P,1.0,104.4786,0.04233
52,P,1.0,105.0494,0.04246
53,P,1.0,105.6148,0.04259
54,P,1.0,106.1748,0.04272
55,P,1.0,106.7295,0.04285
56,P,1.0,107.2788,0.04298
57,P,1.0,107.8227,0.0431
58,P,1.0,108.3613,0.04322
59,P,1.0,108.8948,0.04334
60,P,1.0,109.4233,0.04347
